	HSK_level	structure
319	2	 Subj. + [Verb Phrase] + 了 
328	2	 Subj. +（ 没） + Verb + 过 + Obj. 
338	2	 Statement + 呢 
348	2	 Verb + 过 +（ Obj.） + 了 
367	2	 Noun 1 + 比 + Noun 2 + (更） + Adj. 
380	2	 Subj. + 给 + Recipient + [Verb Phrase] 
390	2	 从 + Place  / Time + 到 + Place 2 
400	2	 往 + Direction / Place + Verb 
406	2	 Verb + 往 + Direction / Place 
409	2	" 往 + Direction / Place + Verb :: (往下 as ""Keep Going"")"
412	2	 Subj. + 对 + Person + Verb 
417	2	 对 + Person + 来说 ，⋯⋯ 
422	2	 Subj. + 姓 + [Surname] 
434	2	 Subj. + 要 + Noun 
439	2	" Subj. + 要 + Verb ::(要 (yào) as ""Want to"")"
444	2	" Subj. + 要 + Verb ::(要 (yào) as ""Need to"")"
449	2	" Subj. + 要 + Verb ::(要 (yào) as ""Going to"")"
454	2	 (Time) + Subj. + 要 + Verb 
464	2	 Subj. + (不 )+ 可以 + Verb + Obj. 
474	2	 Subj. + 要 + Verb + Obj. 
483	2	 Subj. + [Verb Phrase 1] + [Verb Phrase 2] 
493	2	 Subj. + 一起 + Verb + Obj. 
503	2	 Verb + Number + Measure Word 
513	2	 不要 + Verb 
523	2	 Subj. + Verb + Verb 
528	2	 Verb + 一 + Verb 
533	2	ABAB Reduplication with Two-Syllable Verbs
537	2	 Subj. + [Special Verb] + 在 + Location 
549	2	 Subj. + 到 + Place 
554	2	 到 + Place + 来 / 去 
556	2	 Subj. + 到 + Place + Verb Phrase 
561	2	 Subj. + (很) 好 + Verb 
571	2	 Subj. + Verb + 一下 + Obj. 
581	2	  Subj. + Verb + 给 + Recipient + Obj. :: or  :: Obj. + Subj. + Verb + 给 + Recipient 
587	2	 Subj. + 把 + Obj. + Verb + 给 + Recipient 
593	2	 Subj. + 给 + Target + [Verb Phrase] 
603	2	 Subj. + Verb + [Indirect Obj.] + [Direct Obj.] 
613	2	 Verb + 得 + [Degree Complement] 
637	2	 Subj. + Verb + 不懂 
647	2	 Subj. + (没) + Verb + Adj. (+ Obj.) 
657	2	 Subj. + Verb + [One-syllable Verb] +了 (+ Obj.) 
662	2	 Subj. + (没) + Verb + 到 / 见 + Obj. 
674	2	 Subj. + Verb + 完 + （Obj.） + （了） 
688	2	 每 + Measure Word + Noun + 都 
698	2	 第 + Number +（ Measure Word + Noun） 
712	2	 Verb + 不 + Verb 
717	2	 Subj. + Verb + 不 + Verb + Obj. 
722	2	 Adj. + 不 + Adj. 
727	2	 [First Character of Adj.] + 不 + Adj. :: / :: [First Character of Verb] + 不 + Verb 
737	2	 Subj. + 有 没有 + Obj. 
741	2	 Subj. + 怎么 + Verb + Obj. ? 
747	2	 Subj. + 怎么 (+ 不) + Adj. 
752	2	 Subj. + 怎么 + 这么 / 那么 + Adj. 
757	2	(能……吗？) / (不是……吗？ ) / ( 怎么会……？ ) / ( 谁让你……？)
787	2	 ⋯⋯， 好 / 对 / 是 / 可以 + 吗？ 
797	2	 Result, 因为 + Reason 
802	2	 Reason, 所以 + Result 
807	2	 因为 + Cause, 所以 + Effect 
