	HSK_level	structure
1067	4	 原来 + 是 + [Fact / Truth / Reason / Purpose] :: / :: 怪不得 + [Observation / Situation]，原来 + 是（因为 / 为了 / 想⋯⋯） 
1072	4	 原来的 + Noun 
1077	4	 刚 (gāng) vs 刚才 (gāngcái) 
1110	4	 从 + Time / Event + 开始 / 起 
1114	4	 从 + Place + 上 / 里 
1117	4	 Place 1 + 离 + Place 2 + 远 / 近 
1119	4	 Past Event 1 + 离 + Time + Duration :: / :: 离 + Future Event + 还有 + Duration 
1123	4	 A，相反，B :: / :: A，反而 B 
1125	4	 Situation，相反，The Opposite of the Situation :: / :: Expectation，反而 + The Opposite of Expectation 
1128	4	 相反 + 的 + Noun 
1130	4	 Subj. + 相反 :: / :: A 和 / 跟 B ＋ 是 ＋ 相反的 
1134	4	 肯定 + Noun / Noun Phrase :: / :: Subj. + (敢)肯定 + Sentences 
1137	4	 确定 + Phrase / Sentence 
1141	4	 肯定 + （的 +） Noun 
1143	4	 一定 + Adj. / Verb 
1147	4	  肯定  /  确定 / 一定 + （的 +） Noun 
1151	4	 Subj. + Verb + 以后／的时候，⋯⋯ 
0	5	 Adj. + 得不得了 
4	5	 Adj.+ 得很 
11	5	 Verb + 什么 (+ Verb) ？ :: / :: Adj. + 什么 (+ Adj.) ？ 
13	5	 Verb + 什么 (+ Verb) ？ 
16	5	 Adj. + 了（一）点儿 
26	5	 Subj. + 有的是 + Noun :: / :: Noun + Subj. + 有的是 。 
35	5	 Subj. ＋Verb + 了 + 又 + Verb，还是 / 就是 …… 
45	5	 Subj. + 都 + Predicate 
48	5	 都 + 小句，主句 
50	5	 都 + 怨 / 是 / 怪 + Somebody 
53	5	 Subj. + 还 + Predicate / [Verb Phrase] + 吗 ? 
62	5	 总 + 会 / 得 / 要 / 能 + Verb :: / :: 总 + 不 / 没 + Verb 
72	5	 Subj. + 进一步 + Verb 
81	5	 ⋯⋯ ，(Subj. +) 只好 + [Verb Phrase] 
88	5	 毕竟 ⋯⋯ :: / :: 虽然 ⋯⋯ ，但 + 毕竟 ⋯⋯ ，(as a result) ⋯⋯ 
98	5	 Subj. + 差点 + 没 + Verb Phrase 
102	5	 [Disregarded Situation] ， 反正 ⋯⋯ 
107	5	 反正 + Condition ，Decision / Suggestion 
112	5	 尽量 + Verb / Adj. 
117	5	 Subj. + 好容易 / 好不容易 + 才 + Verb，[Result Sentence] 
122	5	 Verb / [Verb Phrase] + 好容易 / 好不容易 
125	5	 互相 + Verb 
136	5	 尽管 + Verb 
141	5	 Subj. + 不得不 + Verb 
146	5	 Subj. + 干脆 + Verb 
150	5	 几乎 + Subj. + 都 + Verb / Adj. 
155	5	 Subj. + 几乎 ( + 不 / 没 ) + Predicate 
160	5	 Subj. + 再也 + 不 + Verb-Obj. + 了 
165	5	 Subj. + 再也 + 没 + Verb + 过 + Obj. 
170	5	 Subj. + 曾经 + Verb + 过 (+ Obj.) 
177	5	 曾经 + 是 / 在 / 有 ⋯⋯ 
182	5	 不曾/ 未曾 + Verb + 过 + Obj. 
185	5	 再三 + Verb 
190	5	 Subj. + 简直 + Predicate 
197	5	 Subj. + 简直 + 是(在) + Predicate 
199	5	 Subj. + 一向 + Habit / Attitude / etc. 
203	5	 白 + Verb + 了 
211	5	 Subj. ＋Verb Phrase 1，顺便 + Verb Phrase 2 
217	5	 顺便说一下 :: / :: 顺便问一下 :: 
220	5	 Subj. + 差很多 
225	5	 A + 跟 / 和 + B + 差很多 
230	5	 A 啊， B 啊， C 啊⋯⋯ 
233	5	 Verb 1 + 和 + Verb 2 
238	5	 Adj. 1 + 和 + Adj. 2 
243	5	 要不 + Suggestion ，Reason / Situation :: / :: Reason / Situation ，要不 + Suggestion 
253	5	 彼此 + Verb 
257	5	 Verb + 彼此 / 对方 
261	5	 彼此 + 的 + Noun 
263	5	 对方 + Predicate 
267	5	 Group + 当中 :: / :: Process + 当中 
270	5	 Verb + 彼此 :: / :: 彼此 + Verb 
279	5	 Time / Event + 以来 ，⋯⋯ 
284	5	 Time Period + 来 ，⋯⋯ 
290	5	 Subj. + 这个 /  这种 / 这类 + [Category] 
295	5	 Subj. + Verb + 了 + Obj. :: / :: Subj. + Verb + Obj. + 了 
322	5	 Subj. + Verb + Complement + 了 :: / :: Subj. + Verb + 了 + Complement 
342	5	 Topic + 嘛 ，Statement 
347	5	 Option 1 + 呢 + 还是 + Option 2 + 呢？ 
349	5	 ⋯⋯Interrogative Pronoun⋯⋯ + 呢？ 
352	5	 Subj. + Verb 1 + 不 + Verb 1 + (Verb 2) + 呢？ 
358	5	 Subj. + 有 + [Verb Phrase] 
363	5	 Subj. + 有 + Adj. + 到 
366	5	 Subj. + 有 + Adj. 
369	5	 Subj. + 有 + Verb + 过 + Obj. 
373	5	 Subj. + 有 + 在 + Verb 
376	5	 级别 / 次序 / 数目 + 以上 / 以下 
383	5	 时间 / 处所 / 数量 / 范围 + 以内 / 以外 
389	5	 自 / 从 / 自从 + Time / Event + 以来 
393	5	 自从 + [Starting Point] 
399	5	 对 + Party + 而言 ，⋯⋯ 
402	5	 为 + Party + Verb / Adj. 
412	5	 (包括)⋯⋯ 在内 ，⋯⋯ :: / :: ⋯⋯ ，(包括)⋯⋯ 在内 
416	5	 凭 + Noun / Noun Phrase 
419	5	 凭 + Verb Phrase / Subj.-Predicate 
423	5	 Subj. + 凭什么 + Verb Phrase 
426	5	 凭着 + Noun / Noun Phrase 
428	5	 Receiver + 给 + The Doer + Verb Phrase 
433	5	 至于 + Topic， Comment 
436	5	 Subj. + 就 + 活动的对象或者范围 + Verb + Obj. 
439	5	 就 + Topic + (来说 / 而言) + Comment 
442	5	 趁 + [Situation / Opportunity] 
447	5	 要不是 ⋯⋯（的话），⋯⋯ 
452	5	 [Good Outcome] ，多亏 (了) + [Lucky Incident] 
454	5	 多亏 (了) + [Lucky Incident] ，Subj. 才 + [Good Outcome] 
457	5	 多亏 (了) + [Lucky Incident] ，不然 + Subj. + [Bad Outcome] 
460	5	 Subj. + Verb + Obj. + 而已 
464	5	 Verb + 什么 + Obj. 
469	5	 Noun 1 + 像 + Noun 2 + 一样 + Adj. / Verb 
473	5	 Noun 1 + 不像 + Noun 2 + (⋯⋯ ) 这么 / 那么 + Adj. / Verb 
477	5	 比起 + B (+ 来) ，A ~ 
479	5	 相比 + B ，A + ~ :: / :: 和 / 跟／与 + B + 相比 ，A + ~ 
483	5	 A + 不如 + B 
486	5	 A + 不如 + B + Adj. :: / :: A + Verb + 得 + 不如 + B + Adj. :: / :: A + Verb-Obj. + 不如 + B+ (Verb + 得) + Adj. 
496	5	 Noun / Adj. + 化 
508	5	 Subj. (+ 不) + 算 + Noun 
513	5	 Subj. + 算 + Adj. + 的 
517	5	 Subj. + 不 + 算 + Adj. 
521	5	 Subj. (+ 不) + 算 + Noun :: / :: Subj. + 算 + Adj. + 的 :: / :: Subj. + 不 + 算 + Adj. :: 
526	5	 难怪 + [Specific Person / People] 
529	5	 Subj. + 将 / 将要 / 将会 + [Verb Phrase] 
536	5	 Subj. + 会 + Predicate + 吗 ？ 
538	5	 (Subj.) + 难免 + Verb 
543	5	 [Action] + 以便 + [Outcome] 
546	5	 受 + (到/过) + ([Something / Someone]) + Noun / Verb 
558	5	 格外 + verb 
561	5	 ⋯⋯ ，Subj. + 反而 + [Unexpected Outcome] 
567	5	 ⋯⋯ ，Subj. 不但 + 不 / 没 ⋯⋯，反而 + [Unexpected Outcome] 
572	5	 之所以 ⋯⋯ ，是 + 因为 / 为了 / 想 ⋯⋯ 
577	5	 Subj. + 因(为) + Cause + 而 + Result 
581	5	 Adj. + 得 + 很 / 不得了 / 要命 / 不行 
591	5	 Verb + 得 / 不 + 了 :: / :: Verb + 得 / 不 + 下 :: / :: Verb + 得 / 不 + 起 + Obj. :: / :: Verb + 得 / 不 + 动 :: / :: Verb + 得 / 不 + 着 
614	5	 Verb as Complement 
637	5	 Adj. + 坏了 
644	5	 Verb vs. Verb + 到 
671	5	 Verb + 来 + Verb + 去 
675	5	 Verb (+ 得 / 不) + 着 
682	5	 一旦 + Condition，Subj. + 就 + Consequence 
686	5	 就是 + Hypothetical Statement + 也 + Action 
690	5	 就算 ⋯⋯ ，也 ⋯⋯ :: / :: 就算 + 再 + Adj. ，也 ⋯⋯ 
702	5	 哪怕 ⋯⋯ ，也 ⋯⋯ 
707	5	 哪怕 + Subj. 1 + 再 ⋯⋯ ，Subj. 2 + 也 ⋯⋯ 
712	5	 假如 + Statement + 就 + Result 
715	5	 假使 + Statement + 就 + Result 
718	5	 万一 ⋯⋯怎么办 ？/  呢 ？, ⋯⋯ 
730	5	 Topic + 的话 ，Comment 
735	5	 Subj. + 把 + Obj. + 给 + Verb Phrase 
740	5	 把 + Obj.+ 当成 / 看成 / 当作 / 看作 +⋯⋯ 
746	5	 (别 / 不）把 + Obj.1 + 当回事 
750	5	 把 + Obj. 1 + Verb + 成 + Obj. 2 
758	5	 把 + Obj. 1 + Perception Verbs 
763	5	 Noun 1 + 不比 + Noun 2 + Adj. 
767	5	 A + 不比 + B + Verb + 得 + Adj. 
771	5	 要 + Verb + 就 + Verb 
776	5	 以 + Subj. + 名义 
779	5	 Action ，好 + Purpose 
782	5	 一面 + Verb + 一面 + Verb 
788	5	 不是 + A，就是 + B 
792	5	 宁可 ⋯⋯ ，也要 / 也不 ⋯⋯ 
801	5	 Subj. + 少不了 + 要 + [Verb Phrase] 
805	5	 Situation / Result ，少不了 + 是 + Reason 
808	5	 A, 等于 B 
811	5	 Reason ，怪不得 / 难怪 + [Observation] 
816	5	 怪不得 / 难怪 + [Observation] ，原来 (+ 是) + Reason 
823	5	 或者 A ，或者 B 
826	5	 别说 + A ， 连 / 就是+ B + 也 / 都 + Verb 
830	5	 连 + A + 都 / 也 + Verb， 更不用说 + B + 了 
833	5	 Subj. + 连 ⋯⋯ 都 + Verb ，何况 ⋯⋯ 呢 ？ 
835	5	 Subj. + 连 ⋯⋯ 都 + 不 / 没 + Verb ，何况 ⋯⋯ 呢 ？ 
838	5	 Subj. (+ 尚且) + 都 / 就 ⋯⋯ ，（更）何况 ⋯⋯ 
843	5	 Noun + 不仅 + A，而且 + B 
846	5	 Subj. + 不断 + 地 + Verb 
849	5	 Subj. + 不停 + 地 + Verb 
852	5	 Subj. + Verb + 个 + 不停 
855	5	 常常 / 经常 + Verb 
864	5	 突然／忽然 + Verb 
868	5	 突然／忽然 + Adj. 
872	5	 突然／忽然，⋯⋯ 
874	5	 突然 + (的) + Noun 
876	5	 Subj. + Verb + 得 + 突然 
878	5	 Subj. + Modifier + 突然 
880	5	 Subj. + 突然 + Modifier 
893	5	 Subj. + 总算 / 终于 + Verb 
904	5	 Person A + 跟 / 对 + Person B 说 
910	5	 Subj. + 跟 / 对 + Obj. 
916	5	 A + 跟 + B + （不）一样 
918	5	 A + 跟 + B + （不）一样 + Adj. 
920	5	 Subj. 1 跟 Subj. 2 + Verb-Obj. 
922	5	 Subj. 1 对 Subj. 2 + Verb 
925	5	 向 / 朝 / 往 + 具体方向 + Verb 
929	5	 Verb + 向 / 往 + 具体方向 
933	5	 向 / 朝 + 动作的对象 + 具体意义的动词 
936	5	 向 + Direction + Abstract Verb 
939	5	 对／对于 + 动作对象 + Verb 
948	5	 Subj. + 对着／对上／对不上 
951	5	 A + 对 + B + Adj. 
956	5	 对于 + Modifier， Subj. + Predicate :: / :: Subj. + 对于 + Modifier + Predicate 
963	5	 至于 + Topic，Subj. + Verb Phrase 
965	5	 （不）至于 + Degree 
973	5	 Subj. + 给 + Recipient + [Verb Phrase] 
987	5	 Subj. + 适合 + Obj. 
991	5	 Subj. + Adv. + 合适 
996	5	 Subj. + 平常 + Verb 
1000	5	 Subj. + 很 + 平常 :: / :: 平常 + 的 + Noun 
1006	5	 Subj. + Special Time + 以后／之后 + Verb 
1010	5	 以后 ，⋯⋯ 
1013	5	 Event 1 ，之后 + Event 2 
1018	5	" 然后 as ""and then"" "
1019	5	 然后 without 先 
1022	5	" 以后 as ""In the Future"" "
1024	5	" 以后 as ""After"" "
1026	5	 [Past Event 1] ，后来 + [Past Event 2] 
1029	5	 A + 显得 + B + Predicate 
1034	5	 Subj. + 看起来 + Predicate 
0	6	 Subj. + Verb + 得 + 倒 + Adj. 
3	6	 Subj. + 倒 + Adj. 
8	6	 你 + 倒是 + Verb + 呀 / 啊 
12	6	 Subj. + 很是 + Adj. 
19	6	 Subj. + 很是 + 会 / 能 + Verb 
23	6	 足足 + Verb :: / :: Verb + 足足 
26	6	 Subj. + 一再 + Verb 
34	6	 Subject + 向来（都） + Verb/Verb Phrase 
37	6	 Subj. + 果然 + Predicate 
41	6	 Clause 1 ，果然 ，Clause 2 
45	6	 Subj. + 似乎 ⋯⋯ 
52	6	 凡是 + Noun + 都 / 就 / 一律 + Predicate 
59	6	 凡(是) + Noun + 无不 / 均 + Predicate 
63	6	 A, Subject + 偏偏 + B 
72	6	 一律 (+ 都) + Verb / Adj. 
80	6	 无非 + 是 + Noun / Verb Phrase 
92	6	 ……，到时候 + …… 
98	6	 Subj. + 何必 + Predicate 
104	6	 何必⋯⋯ 呢 ？⋯⋯ 
111	6	 Sentence + 来着 
120	6	 [Noun Phrase 1]，[Noun Phrase 2] + 以及 + [Noun Phrase 3] 
127	6	 Subject + Predicate, 则 + Subject + Predicate 
130	6	 Clause 1，+ 而 Subject + 则 + Predicate 
133	6	 以免 + Verb Phrase 
138	6	 以免 + Sentence 
141	6	 本 + Noun 
145	6	 Word + 性 
150	6	 是否 + Verb / Adj. 
153	6	 Noun + 之 + Noun 
156	6	 Statement + 嘛 
166	6	 Verb/Adjective + 与否 
169	6	 Sentence + 呗 
173	6	 鉴于 + observation, conclusion/suggestion 
176	6	 Subj. + 非(要) + [Verb Phrase] + 不可 
183	6	 非 + Subj. + [Verb Phrase] + 不可 
186	6	 非(要) + Subj. + [Verb Phrase] + 不可 
190	6	 岂不是 + rhetorical question 
195	6	 (Subj. + 兼 + Verb + Noun 1 + 和 + Noun 2 ) / ( Subj. + 是 + Noun 1 + 兼 + Noun 2 )
198	6	 Fact, + 莫非 + conjecture + (不成)? 
202	6	 莫非 + Subject + rhetorical question 
205	6	 Reasons, 由此 + results and implications 
212	6	 Statement, 非 (得) + Action + 不可 / 不行 
217	6	 Topics or questions + 莫过于 + answer 
222	6	 与其 ⋯⋯ ，不如 ⋯⋯ 
227	6	 与其 ⋯⋯ ，Subj. + 宁可 / 宁愿 ⋯⋯ 
232	6	 与其说 + A，不如说 + B 
237	6	 跟 + Noun/Pronoun/Adjective + 似的 
241	6	 Subject + 不愧是（不愧为）+ reputation 
245	6	 Area of responsibility + 由 + Person(s) + 做主 
248	6	 一来 + Reason 1 ，二来 + Reason 2 
251	6	 谅 + Subject + verb phrase 
255	6	 Subject + 不屑(于) + verb/verb phrase 
259	6	 不得不 / 只好 + Verb 
271	6	 (Subj. + 反而 ) / (反而 + Subj. )
273	6	 Subj. + 却 
274	6	 反而 + Sentence 
277	6	 却 + Verb 
280	6	 反而 and 却 
282	6	 不但没⋯⋯，反而⋯⋯ 
283	6	 不但不⋯⋯，反而⋯⋯ 
284	6	 ⋯⋯，反而却/却反而⋯⋯ 
286	6	 ⋯⋯， 却偏（偏）⋯⋯ 
288	6	 虽然⋯⋯却⋯⋯ 
289	6	 ⋯⋯， 但（是）却⋯⋯ 
291	6	 Use of 根本
294	6	 Use of 到底 
301	6	 Monosyllabic nouns with 据
303	6	 Pairings with 据 
305	6	 Referring to people using 据 
309	6	 还原 + Noun/Nominal Phrase 
312	6	 Noun/Noun Phrase + 恢复了 
317	6	 Clause 1, 反而 / 居然 + unexpected opposite outcome 
319	6	 Clause 1, 不仅没有（不但没有）/ 不仅不 (不但不)......反而...... 
